bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1978801,3209295,text,22511,text/html,Amended,https://legiscan.com/CA/text/SB568/id/3209295,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB568#97AMD
1978802,3134964,text,10965,text/html,Introduced,https://legiscan.com/CA/text/SB569/id/3134964,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB569#99INT
1978803,3134965,text,3282,text/html,Introduced,https://legiscan.com/CA/text/SB570/id/3134965,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB570#99INT
1978804,3134966,text,4373,text/html,Introduced,https://legiscan.com/CA/text/SB571/id/3134966,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB571#99INT
1978804,3189107,text,24209,text/html,Amended,https://legiscan.com/CA/text/SB571/id/3189107,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB571#98AMD
1978805,3134967,text,5923,text/html,Introduced,https://legiscan.com/CA/text/SB572/id/3134967,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB572#99INT
1978805,3191060,text,19660,text/html,Amended,https://legiscan.com/CA/text/SB572/id/3191060,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB572#98AMD
1978806,3134968,text,3597,text/html,Introduced,https://legiscan.com/CA/text/SB573/id/3134968,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB573#99INT
1978806,3191121,text,17601,text/html,Amended,https://legiscan.com/CA/text/SB573/id/3191121,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB573#98AMD
1978806,3199720,text,21378,text/html,Amended,https://legiscan.com/CA/text/SB573/id/3199720,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB573#97AMD
1978807,3134969,text,4183,text/html,Introduced,https://legiscan.com/CA/text/SB574/id/3134969,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB574#99INT
1978807,3186997,text,9335,text/html,Amended,https://legiscan.com/CA/text/SB574/id/3186997,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB574#98AMD
1978808,3134970,text,7986,text/html,Introduced,https://legiscan.com/CA/text/SB575/id/3134970,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB575#99INT
1978808,3186934,text,8509,text/html,Amended,https://legiscan.com/CA/text/SB575/id/3186934,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB575#98AMD
1978809,3134971,text,5352,text/html,Introduced,https://legiscan.com/CA/text/SB576/id/3134971,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB576#99INT
1978810,3134972,text,6487,text/html,Introduced,https://legiscan.com/CA/text/SB577/id/3134972,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB577#99INT
1978810,3191158,text,28777,text/html,Amended,https://legiscan.com/CA/text/SB577/id/3191158,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB577#98AMD
1978811,3134973,text,7851,text/html,Introduced,https://legiscan.com/CA/text/SB578/id/3134973,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB578#99INT
1978812,3134974,text,7947,text/html,Introduced,https://legiscan.com/CA/text/SB579/id/3134974,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB579#99INT
1978812,3191040,text,11578,text/html,Amended,https://legiscan.com/CA/text/SB579/id/3191040,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB579#98AMD
1978813,3134975,text,10115,text/html,Introduced,https://legiscan.com/CA/text/SB580/id/3134975,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB580#99INT
1978813,3191077,text,17855,text/html,Amended,https://legiscan.com/CA/text/SB580/id/3191077,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB580#98AMD
1978814,3134976,text,3983,text/html,Introduced,https://legiscan.com/CA/text/SB581/id/3134976,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB581#99INT
1978814,3209312,text,5733,text/html,Amended,https://legiscan.com/CA/text/SB581/id/3209312,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB581#98AMD
1978815,3134977,text,3437,text/html,Introduced,https://legiscan.com/CA/text/SB582/id/3134977,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB582#99INT
1978815,3186973,text,22025,text/html,Amended,https://legiscan.com/CA/text/SB582/id/3186973,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB582#98AMD
1978815,3206035,text,35967,text/html,Amended,https://legiscan.com/CA/text/SB582/id/3206035,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB582#97AMD
1978816,3134978,text,4239,text/html,Introduced,https://legiscan.com/CA/text/SB583/id/3134978,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB583#99INT
1978817,3134979,text,29712,text/html,Introduced,https://legiscan.com/CA/text/SB584/id/3134979,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB584#99INT
1978817,3209316,text,39811,text/html,Amended,https://legiscan.com/CA/text/SB584/id/3209316,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB584#98AMD
1978818,3134980,text,3808,text/html,Introduced,https://legiscan.com/CA/text/SB585/id/3134980,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB585#99INT
1978819,3134981,text,12674,text/html,Introduced,https://legiscan.com/CA/text/SB586/id/3134981,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB586#99INT
1978820,3134982,text,9022,text/html,Introduced,https://legiscan.com/CA/text/SB587/id/3134982,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB587#99INT
1978820,3186904,text,28738,text/html,Amended,https://legiscan.com/CA/text/SB587/id/3186904,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB587#98AMD
1978821,3134983,text,3260,text/html,Introduced,https://legiscan.com/CA/text/SB588/id/3134983,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB588#99INT
1978821,3191149,text,9278,text/html,Amended,https://legiscan.com/CA/text/SB588/id/3191149,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB588#98AMD
1978822,3134984,text,7339,text/html,Introduced,https://legiscan.com/CA/text/SB589/id/3134984,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB589#99INT
1978823,3134985,text,32343,text/html,Introduced,https://legiscan.com/CA/text/SB590/id/3134985,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB590#99INT
1978823,3201539,text,32755,text/html,Amended,https://legiscan.com/CA/text/SB590/id/3201539,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB590#98AMD
1978824,3134986,text,4466,text/html,Introduced,https://legiscan.com/CA/text/SB591/id/3134986,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB591#99INT
1978824,3191067,text,19553,text/html,Amended,https://legiscan.com/CA/text/SB591/id/3191067,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB591#98AMD
1978825,3134987,text,15796,text/html,Introduced,https://legiscan.com/CA/text/SB592/id/3134987,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB592#99INT
1978826,3134988,text,15480,text/html,Introduced,https://legiscan.com/CA/text/SB593/id/3134988,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB593#99INT
1978826,3209321,text,31913,text/html,Amended,https://legiscan.com/CA/text/SB593/id/3209321,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB593#98AMD
1978827,3134989,text,7588,text/html,Introduced,https://legiscan.com/CA/text/SB594/id/3134989,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB594#99INT
1978827,3186804,text,10837,text/html,Amended,https://legiscan.com/CA/text/SB594/id/3186804,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB594#98AMD
1978828,3134990,text,7305,text/html,Introduced,https://legiscan.com/CA/text/SB595/id/3134990,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB595#99INT
1978828,3207733,text,62638,text/html,Amended,https://legiscan.com/CA/text/SB595/id/3207733,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB595#98AMD
1978829,3134991,text,12390,text/html,Introduced,https://legiscan.com/CA/text/SB596/id/3134991,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB596#99INT
1978829,3192735,text,26007,text/html,Amended,https://legiscan.com/CA/text/SB596/id/3192735,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB596#98AMD
1978830,3134992,text,30782,text/html,Introduced,https://legiscan.com/CA/text/SB597/id/3134992,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB597#99INT
1978830,3193875,text,32392,text/html,Amended,https://legiscan.com/CA/text/SB597/id/3193875,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB597#98AMD
1978831,3134993,text,3414,text/html,Introduced,https://legiscan.com/CA/text/SB598/id/3134993,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB598#99INT
1978831,3186897,text,10218,text/html,Amended,https://legiscan.com/CA/text/SB598/id/3186897,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB598#98AMD
1978832,3134994,text,12068,text/html,Introduced,https://legiscan.com/CA/text/SB599/id/3134994,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB599#99INT
1978832,3186979,text,23948,text/html,Amended,https://legiscan.com/CA/text/SB599/id/3186979,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB599#98AMD
1978833,3134995,text,8790,text/html,Introduced,https://legiscan.com/CA/text/SB600/id/3134995,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB600#99INT
1978834,3134996,text,120788,text/html,Introduced,https://legiscan.com/CA/text/SB601/id/3134996,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB601#99INT
1978834,3206061,text,129595,text/html,Amended,https://legiscan.com/CA/text/SB601/id/3206061,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB601#98AMD
1978835,3134997,text,15105,text/html,Introduced,https://legiscan.com/CA/text/SB602/id/3134997,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB602#99INT
1978836,3134998,text,16696,text/html,Introduced,https://legiscan.com/CA/text/SB603/id/3134998,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB603#99INT
1978837,3134999,text,14201,text/html,Introduced,https://legiscan.com/CA/text/SB604/id/3134999,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB604#99INT
1978838,3135000,text,14243,text/html,Introduced,https://legiscan.com/CA/text/SB605/id/3135000,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB605#99INT
1978839,3135001,text,12893,text/html,Introduced,https://legiscan.com/CA/text/SB606/id/3135001,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB606#99INT
1978839,3192706,text,23670,text/html,Amended,https://legiscan.com/CA/text/SB606/id/3192706,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB606#98AMD
1978840,3135680,text,26041,text/html,Introduced,https://legiscan.com/CA/text/SB607/id/3135680,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB607#99INT
1978840,3186712,text,69654,text/html,Amended,https://legiscan.com/CA/text/SB607/id/3186712,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB607#98AMD
1978841,3135002,text,13673,text/html,Introduced,https://legiscan.com/CA/text/SB608/id/3135002,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB608#99INT
1978841,3186708,text,17818,text/html,Amended,https://legiscan.com/CA/text/SB608/id/3186708,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB608#98AMD
1978842,3135003,text,15873,text/html,Introduced,https://legiscan.com/CA/text/SB609/id/3135003,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB609#99INT
1978842,3192688,text,15799,text/html,Amended,https://legiscan.com/CA/text/SB609/id/3192688,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB609#98AMD
1978843,3135004,text,7001,text/html,Introduced,https://legiscan.com/CA/text/SB610/id/3135004,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB610#99INT
1978843,3191166,text,65824,text/html,Amended,https://legiscan.com/CA/text/SB610/id/3191166,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB610#98AMD
1978843,3206033,text,56634,text/html,Amended,https://legiscan.com/CA/text/SB610/id/3206033,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB610#97AMD
1978844,3135005,text,14871,text/html,Introduced,https://legiscan.com/CA/text/SB611/id/3135005,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB611#99INT
1978844,3191095,text,16024,text/html,Amended,https://legiscan.com/CA/text/SB611/id/3191095,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB611#98AMD
1978844,3204485,text,16565,text/html,Amended,https://legiscan.com/CA/text/SB611/id/3204485,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB611#97AMD
1978845,3135006,text,37043,text/html,Introduced,https://legiscan.com/CA/text/SB612/id/3135006,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB612#99INT
