bill_id,people_id,position
1636494,18072,25
1636494,18073,9
1636494,18077,21
1636494,18078,10
1636494,18079,14
1636494,19330,62
1636494,19459,5
1636494,19487,67
1636494,19658,22
1636494,19659,39
1636494,19716,7
1636494,19717,11
1636494,19719,48
1636494,19721,52
1636494,19723,68
1636494,21440,42
1636494,21717,8
1636494,21718,17
1636494,21722,61
1636494,21723,65
1636494,22654,13
1636494,22918,66
1636494,22932,12
1636494,23099,43
1636494,23128,69
1636494,23137,26
1636494,23152,4
1636494,23202,2
1636494,23203,3
1636494,23204,6
1636494,23205,16
1636494,23206,18
1636494,23207,19
1636494,23208,27
1636494,23209,29
1636494,23210,31
1636494,23211,33
1636494,23212,35
1636494,23213,38
1636494,23214,44
1636494,23215,45
1636494,23216,46
1636494,23217,47
1636494,23218,54
1636494,23219,56
1636494,23220,57
1636494,23222,58
1636494,23223,60
1636494,23224,71
1636494,23906,64
1636495,16309,1
1636496,14107,28
1636496,14109,33
1636496,14112,40
1636496,14117,32
1636496,14118,51
1636496,14122,62
1636496,14123,66
1636496,16087,55
1636496,16286,24
1636496,16287,23
1636496,16288,25
1636496,16291,30
1636496,16293,36
1636496,16294,37
1636496,16295,41
1636496,16296,42
1636496,16299,57
1636496,16303,73
1636496,16309,1
1636496,18064,53
1636496,18065,35
1636496,18066,17
1636496,18067,3
1636496,18069,21
1636496,18072,26
1636496,18073,10
1636496,18077,22
1636496,18078,11
1636496,18079,16
1636496,19330,65
1636496,19459,6
1636496,19487,70
1636496,19659,39
1636496,19716,8
1636496,19717,12
1636496,19719,50
1636496,19720,52
1636496,19721,54
1636496,19723,71
1636496,21440,44
1636496,21717,9
1636496,21718,19
1636496,21722,64
1636496,21723,68
1636496,22654,15
1636496,22918,69
1636496,22932,14
1636496,22948,13
1636496,23099,45
1636496,23128,72
1636496,23137,27
1636496,23152,5
1636496,23155,43
1636496,23202,2
1636496,23203,4
1636496,23204,7
1636496,23205,18
1636496,23207,20
1636496,23209,29
1636496,23210,31
1636496,23212,34
1636496,23213,38
1636496,23214,46
1636496,23215,47
1636496,23216,48
1636496,23217,49
1636496,23218,56
1636496,23219,58
1636496,23220,59
1636496,23221,60
1636496,23222,61
1636496,23223,63
1636496,23224,74
1636496,23906,67
1636497,1507,15
1636497,14101,20
1636497,14107,27
1636497,14109,33
1636497,14112,40
1636497,14116,48
1636497,14117,30
1636497,14118,54
1636497,14120,56
1636497,14122,66
1636497,14123,71
1636497,16087,59
1636497,16221,32
1636497,16288,24
1636497,16293,35
1636497,16294,37
1636497,16295,41
1636497,16296,42
1636497,16299,61
1636497,16303,78
1636497,16304,1
1636497,16308,43
1636497,18064,57
1636497,18066,17
1636497,18067,4
1636497,18068,76
1636497,18069,22
1636497,18073,11
1636497,18077,23
1636497,18078,12
1636497,18079,16
1636497,18082,49
1636497,19330,69
1636497,19459,6
1636497,19487,74
1636497,19659,39
1636497,19716,8
1636497,19717,13
1636497,19719,53
1636497,19720,55
1636497,19721,58
1636497,19723,75
1636497,19728,2
1636497,21440,45
1636497,21717,10
1636497,21718,19
1636497,21719,36
1636497,21722,68
1636497,21724,9
1636497,21727,47
1636497,22918,73
1636497,22932,14
1636497,23099,46
1636497,23128,77
1636497,23137,25
1636497,23155,44
1636497,23202,3
1636497,23203,5
1636497,23204,7
1636497,23205,18
1636497,23207,21
1636497,23208,26
1636497,23209,28
1636497,23210,29
1636497,23211,31
1636497,23212,34
