bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
737429,476093,2015-09-09,Senate,"Assembly 3rd Reading AB692 Quirk By Wieckowski",25,14,1,0,40
737429,476352,2015-09-10,Assembly,"AB 692 QUIRK  Concurrence in Senate Amendments",52,27,0,1,80
737431,433036,2015-04-14,Assembly,"Do pass as amended and be re-referred to the Committee on 	Appropriations",7,3,0,0,10
737432,437250,2015-04-22,Senate,"Do pass, but re-refer to the Committee on Appropriations",9,0,0,0,9
737432,442815,2015-05-04,Senate,"Placed on Appropriations Suspense file",7,0,0,0,7
737432,453849,2015-05-28,Senate,"Do pass as amended",7,0,0,0,7
737432,457245,2015-06-04,Senate,"Senate 3rd Reading SB460 Allen",40,0,0,0,40
737432,464932,2015-07-01,Assembly,"Do pass and be re-referred to the Committee on Appropriations to 	Consent Calendar",6,0,0,1,7
737433,429385,2015-04-08,Assembly,"Do pass as amended and be re-referred to the Committee on 	Appropriations",7,0,0,0,7
737433,454015,2015-05-28,Assembly,"Do pass",13,4,0,0,17
737433,456010,2015-06-02,Assembly,"AB 740 WEBER  Assembly Third Reading",62,17,0,1,80
737433,466239,2015-07-15,Senate,"Do pass as amended, and re-refer to the Committee on Appropriations",8,0,1,0,9
737435,427940,2015-04-07,Assembly,"Do pass, to Consent Calendar",7,0,0,0,7
737435,434038,2015-04-16,Assembly,"AB 673 SANTIAGO  Consent Calendar Second Day  Regular Session",79,0,0,1,80
737435,462330,2015-06-23,Senate,"Do pass as amended",7,0,0,0,7
737435,466554,2015-07-16,Senate,"Special Consent #5 AB673 Santiago",38,0,2,0,40
737435,474027,2015-08-20,Assembly,"AB 673 SANTIAGO  Concurrence in Senate Amendments",78,0,0,2,80
737438,428975,2015-04-08,Assembly,"Do pass and be re-referred to the Committee on Appropriations to 	Consent Calendar",6,0,0,1,7
737438,453987,2015-05-28,Assembly,"Do pass",17,0,0,0,17
